File Name,Description,Tags
Duck&Boy_1.mp4,"A personal frame-by-frame animation exploring the unlikely friendship between a duck and a boy. Hand-drawn and hand-animated — with every frame, a new part of the story unfolds","Rough Animator, Procreate, Procreate Dreams"
Duck&Boy_2.mp4,An unlikely meeting. This pair appeared one evening while I doodled on my iPad.,"Rough Animator, Procreate, Procreate Dreams"
Duck&Boy_3.mp4,"I wanted to develop my abilities in frame-by-frame animation, hoping for it to start to bleed into my commercial work. I decided to bring the doodle to life. ","Rough Animator, Procreate, Procreate Dreams"
Duck&Boy_4.mp4,A friend suggested to me that I should see what happens if I animated with a consistent character. I followed their advice and imagined them in different scenarios - often inspired by things that were happening in my life.,"Rough Animator, Procreate, Procreate Dreams"
Duck&Boy_5.mp4,"It became a fun experiment, encouraging me to draw the pair in illustrations first, without worrying about the practicalities of animating them.","Rough Animator, Procreate, Procreate Dreams"
Duck&Boy_6.gif,"A story began to unfold. Looking intraspectively, I can see that what was unfolding was recreation of the same emotional journey that I was currently going through.","Rough Animator, Procreate, Procreate Dreams"
Duck&boy_7.mp4,"I had friends that were moving away, and moving abroad. And I was having to adjust to the change in my immediate social circles.","Rough Animator, Procreate, Procreate Dreams"
Duck&Boy_8.mp4,"I wasn't noticeably unhappy, but the course of this project caused me to reflect on the change that was happening. ","Rough Animator, Procreate, Procreate Dreams"
Duck&Boy_9.mp4,"It's a sort of grieving, but the friends are still there. They just aren't as immediately close as they once were. ","Rough Animator, Procreate, Procreate Dreams"
Duck&Boy_10.mp4,And you learn to apadt to the new circumstances. The mark of a good friend is that the distance doesn't change anything.,"Rough Animator, Procreate, Procreate Dreams"
Zorra_1.mp4,"A logo animation for Zorra — bringing the brand mark to life through fluid, expressive motion. Designed to feel hand-crafted while remaining bold and ownable as a brand asset.","Rough Animator, Procreate, After Effects, Procreate Dreams"
Zorra_2.png,"Zorra approached me, asking for help to take their logo design for Zorra into motion. ","Rough Animator, Procreate, After Effects, Procreate Dreams"
Zorra_3.mp4,"To retain the charms of the original logo illustration, I went down the frame-by-frame route, starting with the fox's run cycle. I use basic shapes to plot the movements in Rough Animator.","Rough Animator, Procreate, After Effects, Procreate Dreams"
Zorra_4.mp4,"A rough pass of the fox is made, establishing the movements of the animal. ","Rough Animator, Procreate, After Effects, Procreate Dreams"
Zorra_5.mp4,I then move into After Effects to do similar for the human character. I create a rough puppet in Adobe Illustrator that I can then rig with Duik.,"Rough Animator, Procreate, After Effects, Procreate Dreams"
Zorra_6.mp4,"The AE export then goes back into Rough Animator to create a second rough pass, combining the fox with the human. ","Rough Animator, Procreate, After Effects, Procreate Dreams"
Zorra_7.mp4,"A clean pass is created, mimicing the inking of the original illustration. I add smear frames and whips to give the piece some athentic cartoon charm. ","Rough Animator, Procreate, After Effects, Procreate Dreams"
Bad_Habits_1.mp4,"An animated short. This series of animated vignettes expose the beautifully flawed, deeply human habits we all share. It celebrates the quiet foibles that feel intensely personal yet perhaps also are more universal than we care to admit.","Procreate, Procreate Dreams, After Effects"
Bad_Habits_2.mp4,"Each piece was animated in frame-by-frame. They started off as an illustration, but with a small movement aiming to expose each habit to the viewer.","Procreate, Procreate Dreams, After Effects"
Bad_Habits_3.mp4,Each vignette feels abstracted by the beauty of the illustration. The simplicity makes something dirty feel clean and pleasant to look at.,"Procreate, Procreate Dreams, After Effects"
Bad_Habits_4.mp4,Some light-hearted humour to each piece tunrs a hard truth on its head. ,"Procreate, Procreate Dreams, After Effects"
Bad_Habits_5.mp4,"The project began by brainstorming a series of bad habits that I pocessed myself, but felt like a universal part of life's struggle. I wanted to create a harmony across each image, minimising the colour palette acorss each composition, and aiming to compose each one with the viewpoint facing head-on. ","Procreate, Procreate Dreams, After Effects"
Bad_Habits_6.mp4, The series worked as illustrations in their own right.,"Procreate, Procreate Dreams, After Effects"
Bad_Habits_7.mp4, The series worked as illustrations in their own right.,"Procreate, Procreate Dreams, After Effects"
Bad_Habits_8.mp4, The series worked as illustrations in their own right.,"Procreate, Procreate Dreams, After Effects"
Bad_Habits_9.mp4, The series worked as illustrations in their own right.,"Procreate, Procreate Dreams, After Effects"
Bad_Habits_10.mp4,"But the addition of subtle movements retains the viewer, as they pre-empt what coming. Their guilty conscience shining through. Which reminds me, I have some washing to do. ","Procreate, Procreate Dreams, After Effects"
BCN_MovingForward_1.mp4,Explainer Video for BCN's Moving Forward programme — supporting people after breast cancer treatment,"Scripting, Storyboarding, Styleboarding, After Effects"
BCN_MovingForward_2.webp,"Working with the Moving Forward team, it was key to accurately capture the function of the Moving Forward programme so as to present it visually. This was achieved by storyboarding, and multiple discussions with their team. ","Scripting, Storyboarding, Styleboarding, After Effects"
BCN_MovingForward_3.webp,"It was then key to present the styleboards, so that the client was clear on what they were to receive.","Scripting, Storyboarding, Styleboarding, After Effects"
BCN_MovingForward_4.webp,"It was then key to present the styleboards, so that the client was clear on what they were to receive.","Scripting, Storyboarding, Styleboarding, After Effects"
BCN_MovingForward_5.webm,"I wanted to capture the overwhelming feeling that can come to those adapting to life after treatment. And given the digital nature of the Moving Forward programme, it seemed a very apt analogy to bring in the cluttered desktop, smattered with incomplete tasks and creating an image of the person behind the cancer treatment. ","Scripting, Storyboarding, Styleboarding, After Effects"
